provence    code    coordinate.N      coordinate.E	Population
agrigento        84    37.317  13.583    446837
alessandria       6    44.917   8.617    427229
ancona           42    43.617  13.517    473865
aosta             7    45.733   7.317    126806
arezzo           51    43.373  11.870    343676
ascoli-piceno    44    42.855  13.575    210407
asti              5    44.899   8.208    217573
avellino         64    40.915  14.789    429157
bari             72    41.125  16.887   1247303
barletta        110    41.317  16.283    391723
belluno          25    46.141  12.216    210001
benevento        62    41.133  14.783    284900
bergamo          16    45.695   9.670   1086277
biella           96    45.578   8.051    182192
bologna          37    44.494  11.343    976243
bolzano          21    46.500  11.350    504643
brescia          17    45.633  10.300   1238044
brindisi         74    40.638  17.945    400801
cagliari         92    39.219   9.117    550580
caltanissetta    85    37.490  14.050    273099
campobasso       70    41.567  14.668    226419
carbonia        107    39.150   8.517    128540
caserta          61    41.167  14.217    904921
catania          87    37.517  15.067   1078766
catanzaro        79    38.910  16.588    359841
chieti           69    42.350  14.167    387956
como             13    45.817   9.083    586735
cosenza          78    39.300  16.250    714030
cremona          19    45.133  10.033    357623
crotone         101    39.083  17.117    170803
cuneo             4    44.383   7.550    586378
enna             86    36.567  14.267    173451
fermo           109    43.160  13.718    174857
ferrara          38    44.845  11.633    353481
firenze          48    43.771  11.254    973145
foggia           71    41.467  15.567    626072
forli            40    44.222  12.041    390738
frosinone        60    41.633  13.350    492661
genova           10    44.411   8.933    855834
gorizia          31    45.940  13.623    140143
grosseto         53    42.750  11.108    220564
imperia           8    43.886   8.030    214502
isernia          94    41.650  14.267     87241
l'aquila         66    42.350  13.400    298343
la-spezia        11    44.108   9.829    219330
latina           59    41.468  12.904    544732
lecce            75    40.352  18.169    802018
lecco            97    45.850   9.400    336310
livorno          49    43.550  10.317    335247
lodi             98    45.317   9.500    223755
lucca            46    43.850  10.517    388327
macerata         43    43.300  13.453    319607
mantova          20    44.900  12.500    408336
massa-carrara    45    44.300  10.000    199650
matera           77    40.667  16.600    200101
medio-campidano 106    39.567   8.900    101256
messina          83    38.183  15.550    649824
milano           15    45.467   9.183   3038420
modena           36    44.180  10.648    685777
monza           108    45.583   9.267    840129
napoli           63    40.833  14.250   3054956
novara            3    45.450   8.617    365559
nuoro            91    40.317   9.333    159197
ogliastra       105    39.883   9.550     57329
olbia           104    41.000   9.000    150501
oristano         95    39.900   8.583    163916
padova           28    45.406  11.878    921361
palermo          82    38.115  13.361   1243585
parma            34    44.850  10.450    427434
pavia            18    45.183   9.150    535822
perugia          54    43.112  12.389    655844
pesaro           41    43.910  12.913    362583
pescara          68    42.464  14.214    314661
piacenza         33    45.050   9.700    248616
pisa             50    43.717  10.400    411190
pistoia          47    43.933  10.917    287866
pordenone        93    45.950  12.683    310811
potenza          76    40.639  15.802    377935
prato           100    43.881  11.097    245916
ragusa           88    36.925  14.731    307492
ravenna          39    44.418  12.199    384761
reggio-calabria  80    38.111  15.612    550967
reggio-emilia    35    44.567  10.550    517316
rieti            57    42.408  12.860    155164
rimini           99    44.050  12.567    321769
roma             58    41.893  12.482   3997465
rovigo           29    45.067  11.783    242349
salerno          65    40.683  14.767   1092876
sassari          90    40.733   8.567    328043
savona            9    44.307   8.497    281028
siena            52    43.333  11.333    266621
siracusa         89    37.083  15.283    399933
sondrio          14    46.360   9.944    180814
taranto          73    40.467  17.233    584649
teramo           67    42.658  13.725    306349
terni            55    42.567  12.650    228424
torino            1    45.067   7.700   2247780
trapani          81    38.017  12.545    429917
trento           22    46.445  11.173    524832
treviso          26    45.672  12.242    876790
trieste          32    45.636  13.804    232601
udine            30    46.067  13.233    535430
varese           12    45.817   8.833    871886
venezia          27    45.450  12.400    846962
verbano         103    45.933   8.533    160264
vercelli          2    45.317   8.417    176941
verona           23    45.430  10.980    900542
vibo-valentia   102    38.675  16.096    163409
vicenza          24    45.550  11.550    859205
viterbo          56    42.419  12.104    312864
