Local Authority,Specimen date,Cases (new),Cumulative cases,"Cumulative incidence per 100,000 population",Testing episodes (new),Cumulative testing episodes
Blaenau Gwent,01/07/2020,0,348,499.2,3,3010
Blaenau Gwent,30/06/2020,0,348,499.2,13,3007
Blaenau Gwent,29/06/2020,1,348,499.2,46,2994
Blaenau Gwent,28/06/2020,0,347,497.8,16,2948
Blaenau Gwent,27/06/2020,0,347,497.8,8,2932
Blaenau Gwent,26/06/2020,0,347,497.8,29,2924
Blaenau Gwent,25/06/2020,0,347,497.8,30,2895
Blaenau Gwent,24/06/2020,0,347,497.8,52,2865
Blaenau Gwent,23/06/2020,2,347,497.8,45,2813
Blaenau Gwent,22/06/2020,0,345,494.9,54,2768
Blaenau Gwent,21/06/2020,1,345,494.9,10,2714
Blaenau Gwent,20/06/2020,0,344,493.5,19,2704
Blaenau Gwent,19/06/2020,0,344,493.5,32,2685
Blaenau Gwent,18/06/2020,1,344,493.5,80,2653
Blaenau Gwent,17/06/2020,1,343,492,87,2573
Blaenau Gwent,16/06/2020,0,342,490.6,74,2486
Blaenau Gwent,15/06/2020,2,342,490.6,127,2412
Blaenau Gwent,14/06/2020,1,340,487.7,35,2285
Blaenau Gwent,13/06/2020,0,339,486.3,126,2250
Blaenau Gwent,12/06/2020,1,339,486.3,55,2124
Blaenau Gwent,11/06/2020,0,338,484.8,15,2069
Blaenau Gwent,10/06/2020,0,338,484.8,31,2054
Blaenau Gwent,09/06/2020,0,338,484.8,71,2023
Blaenau Gwent,08/06/2020,1,338,484.8,65,1952
Blaenau Gwent,07/06/2020,1,337,483.4,69,1887
Blaenau Gwent,06/06/2020,1,336,482,19,1818
Blaenau Gwent,05/06/2020,0,335,480.5,41,1799
Blaenau Gwent,04/06/2020,0,335,480.5,41,1758
Blaenau Gwent,03/06/2020,0,335,480.5,16,1717
Blaenau Gwent,02/06/2020,0,335,480.5,40,1701
Blaenau Gwent,01/06/2020,0,335,480.5,14,1661
Blaenau Gwent,31/05/2020,1,335,480.5,22,1647
Blaenau Gwent,30/05/2020,0,334,479.1,108,1625
Blaenau Gwent,29/05/2020,0,334,479.1,14,1517
Blaenau Gwent,28/05/2020,0,334,479.1,22,1503
Blaenau Gwent,27/05/2020,1,334,479.1,32,1481
Blaenau Gwent,26/05/2020,0,333,477.7,26,1449
Blaenau Gwent,25/05/2020,2,333,477.7,21,1423
Blaenau Gwent,24/05/2020,0,331,474.8,13,1402
Blaenau Gwent,23/05/2020,1,331,474.8,25,1389
Blaenau Gwent,22/05/2020,1,330,473.4,18,1364
Blaenau Gwent,21/05/2020,0,329,471.9,24,1346
Blaenau Gwent,20/05/2020,2,329,471.9,52,1322
Blaenau Gwent,19/05/2020,1,327,469.1,15,1270
Blaenau Gwent,18/05/2020,1,326,467.6,15,1255
Blaenau Gwent,17/05/2020,3,325,466.2,17,1240
Blaenau Gwent,16/05/2020,4,322,461.9,84,1223
Blaenau Gwent,15/05/2020,4,318,456.2,90,1139
Blaenau Gwent,14/05/2020,0,314,450.4,13,1049
Blaenau Gwent,13/05/2020,0,314,450.4,16,1036
Blaenau Gwent,12/05/2020,0,314,450.4,14,1020
Blaenau Gwent,11/05/2020,1,314,450.4,14,1006
Blaenau Gwent,10/05/2020,0,313,449,9,992
Blaenau Gwent,09/05/2020,3,313,449,13,983
Blaenau Gwent,08/05/2020,0,310,444.7,27,970
Blaenau Gwent,07/05/2020,7,310,444.7,37,943
Blaenau Gwent,06/05/2020,4,303,434.6,22,906
Blaenau Gwent,05/05/2020,7,299,428.9,30,884
Blaenau Gwent,04/05/2020,1,292,418.9,15,854
Blaenau Gwent,03/05/2020,2,291,417.4,8,839
Blaenau Gwent,02/05/2020,9,289,414.6,53,831
Blaenau Gwent,01/05/2020,2,280,401.6,17,778
Blaenau Gwent,30/04/2020,2,278,398.8,18,761
Blaenau Gwent,29/04/2020,2,276,395.9,18,743
Blaenau Gwent,28/04/2020,2,274,393,24,725
Blaenau Gwent,27/04/2020,1,272,390.2,12,701
Blaenau Gwent,26/04/2020,2,271,388.7,8,689
Blaenau Gwent,25/04/2020,6,269,385.9,21,681
Blaenau Gwent,24/04/2020,5,263,377.3,23,660
Blaenau Gwent,23/04/2020,3,258,370.1,11,637
Blaenau Gwent,22/04/2020,8,255,365.8,25,626
Blaenau Gwent,21/04/2020,0,247,354.3,22,601
Blaenau Gwent,20/04/2020,7,247,354.3,17,579
